Detail 1.1.1 ,,,,,,,,,
"Window Wall System ""½ Spandrel Panel Clear Wall with No Interior Stud Cavity Insulation",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Films1,-,-,R-0.6 to R-1.1 (0.12 to 0.20 RSI),-,-,0.8,0.0000008,7.09095441
2,Wood Sill,"1 1/4""½ (30)",0.69 (0.10),-,27.8 (445),0.45 (1880),218,6.54,
3,Steel Sheet Connected to Studs,18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
4,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
5,Air in Stud Cavity,"3 5/8""½ (92)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
6,"1 5/8""½ x 1 5/8""½ Steel Studs (16""½o.c.) with Top and Bottom Tracks",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
7,Backpan Insulation,Varies,0.24 (0.034),R-8.4 to R-16.8 (1.48 to 2.96 RSI),4 (64),0.20 (850),9.98,0.499,
8,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 1.1.2,,,,,,,,,
"Window Wall System ""½ Spandrel Panel Clear Wall with Interior Spray Foam Insulation",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Films1,-,-,R-0.6 to R-1.1 (0.12 to 0.20 RSI),-,-,0.8,0.0000008,7.78965441
2,Wood Sill,"1 1/4""½ (30)",0.69 (0.10),-,27.8 (445),0.45 (1880),218,6.54,
3,Metal Sheet Connected to Studs,18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
4,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
5,Air in Stud Cavity,"1 5/8""½ (41)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
6,"1 5/8""½ x 1 5/8""½ Steel Studs (16""½ o.c.) with Top and Bottom Tracks",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
7,Continuous Spray Foam Insulation,"2""½ (51)",0.17 (0.024),R-12 (2.11 RSI),2.8 (39),0.35 (1470),13.7,0.6987,
8,Backpan Insulation,Varies,0.24 (0.034),R-8.4 to R-16.8 (1.48 to 2.96 RSI),4 (64),0.20 (850),9.98,0.499,
9,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 1.1.3,,,,,,,,,
"Window Wall System ""½ Full Height Spandrel with no Interior Stud Cavity Insulation",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Films1,-,-,R-0.7 (0.12 RSI),-,-,0.8,0.0000008,0.54935301
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,Air in Stud Cavity,"3 5/8""½ (92)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
4,"3 5/8""½ x 1 5/8""½ Steel Studs (16""½o.c.) with Top and Bottom Tracks",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
5,Backpan Insulation,Varies,0.24 (0.034),R-8.4 to R-16.8 (1.48 RSI to 2.96 RSI),4 (64),0.20 (850),9.98,0.499,
6,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 1.1.4,,,,,,,,,
"Window Wall System ""½ Full Height Spandrel with Interior Spray Foam Insulation",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Films1,-,-,R-0.7 (0.12 RSI),-,-,0.8,0.0000008,1.24805301
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,Air in Stud Cavity,"1 5/8""½ (41)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
4,"3 5/8""½ x 1 5/8""½ Steel Studs (16""½o.c.) with Top and Bottom Tracks",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
5,Continuous Spray Foam Insulation,"2""½ (51)",0.17 (0.024),R-12 (2.11 RSI),2.8 (39),0.35 (1470),13.7,0.6987,
6,Backpan Insulation,Varies,0.24 (0.034),R-8.4 to R-16.8 (1.48 RSI to 2.96 RSI),4 (64),0.20 (850),9.98,0.499,
7,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 1.2.1,,,,,,,,,
"Window Wall System ""½ Intermediate Floor Intersection with Spandrel Bypass and no Interior Stud Cavity Insulation",,,,,,,,,
